AANHITW	Hilton Al Ain
BDLWHGI	Hilton Garden Inn Hartford North/Bradley Intl Airport
BDOHIHI	Hilton Bandung
BDQHXHX	Hampton Inn Vadodara Alkapuri
BDRCTHW	Homewood Suites by Hilton Stratford, CT
BDRSMHX	Hampton Inn and Suites Stamford, CT
BDRSTHF	Hilton Stamford
BDSTWHX	Hampton Bardstown, KY
BDTNJHX	Hampton Inn Bordentown
BEDWOGI	Hilton Garden Inn Worcester, MA
BEHCWGI	Hilton Garden Inn Benton Harbor / St. Joseph
BEHMIHX	Hampton Inn St. Joseph, MI
BEKWVHX	Hampton Inn Beckley
BELPAHX	Hampton Inn Belle Vernon, PA
BENVTHX	Hampton Inn Bennington, VT
BERHITW	Hilton Berlin
BERWAWA	Waldorf Astoria Berlin
BEYHGHI	Hilton Beirut Habtoor Grand Hotel
BEYMPHI	Hilton Beirut Metropolitan Palace
BFATXHX	Hampton Inn and Suites Buffalo, TX
BFDPAHX	Hampton Inn Bedford
BFFNEHX	Hampton Inn and Suites Scottsbluff
BFLBAGI	Hilton Garden Inn Bakersfield
BFLWPHX	Hampton Inn and Suites Bakersfield - Hwy 58, CA
BFNSCHX	Hampton Inn and Suites Bluffton Sun City
BFPPAHX	Hampton Inn Center Township, PA
BFSHITW	Hilton Belfast
BFSTPHN	Hilton Belfast Templepatrick Golf & Country Club
BFTSCHX	Hampton Inn Beaufort
BGIHIHH	Hilton Barbados, BB
BGMHSHX	Hampton Inn and Suites Binghamton/Vestal
BGMNYHX	Hampton Inn Binghamton/Johnson City
BGMOWHX	Hampton Inn Owego, NY
BGMVEHW	Homewood Suites by Hilton Binghamton/Vestal, NY
BGMWSDT	DoubleTree by Hilton Binghamton
BGNOHHX	Hampton Inn Bowling Green
BGRBAGI	Hilton Garden Inn Bangor
BGRSKHX	Hampton Inn Bangor, ME
BGTHWHW	Homewood Suites by Hilton Brighton, MI
BHBEWHX	Hampton Inn Ellsworth/Bar Harbor, ME
BHMBMHX	Hampton Inn Birmingham/Bessemer
BHMCOHX	Hampton Inn Birmingham Colonnade
BHMCUQQ	The Redmont Hotel-Curio By Hilton
BHMCVHX	Hampton Inn and Suites Birmingham/Pelham
BHMDNHX	Hampton Inn & Suites Birmingham-Downtown/Tutwiler, AL
BHMDTDT	DoubleTree by Hilton Birmingham
BHMEAHX	Hampton Inn and Suites Birmingham Airport Area, AL
BHMFDHX	Hampton Inn Fultondale
BHMHMHW	Homewood Suites by Hilton Birmingham-SW-Riverchase-Galleria
BHMHOES	Embassy Suites by Hilton Birmingham/Hoover
BHMHWHW	Homewood Suites by Hilton Birmingham South-Inverness, AL
BHMJSHX	Hampton Inn Jasper, AL
BHMLBHX	Hampton Inn and Suites Birmingham/280 East-Eagle Point, AL
BHMLDGI	Hilton Garden Inn Birmingham/Lakeshore Drive
BHMLEHX	Hampton Inn Birmingham/Leeds, AL
BHMLPGI	Hilton Garden Inn Birmingham SE/Liberty Park
BHMLSHX	Hampton Inn Birmingham I-65/Lakeshore Dr, AL
BHMMBHX	Hampton Inn Birmingham/Mountain Brook
BHMPPHF	Hilton Birmingham Perimeter Park
BHMRCHX	Hampton Inn and Suites Birmingham-Riverchase/Galleria, AL
BHMTRGI	Hilton Garden Inn Birmingham/Trussville, AL
BHMTUGI	Hilton Garden Inn Tuscaloosa
BHMTVHX	Hampton Inn Birmingham/Trussville
BHMWCES	Embassy Suites by Hilton Birmingham
BHMWIHX	Hampton Inn Winfield, AL
BHNWVHX	Hampton Inn Buckhannor
BHXBNHX	Hampton Inn - Birmingham City North - GHE,UK
BHXBPGI	Hilton Garden Inn Birmingham Brindleyplace
BHXBRHN	Hilton Birmingham Bromsgrove
BHXBSHX	Hampton Inn Birmingham Broad Street
BHXMETW	Hilton Birmingham Metropole
BHXPHHN	Hilton Puckrup Hall, Tewkesbury
BILBMGI	Hilton Garden Inn Billings, MT
BILHWHW	Homewood Suites by Hilton Billings, MT
BILMTHX	Hampton Inn Billings
BILWEHX	Hampton Inn and Suites Billings West I-90, MT
BIMBRHH	Hilton at Resorts World Bimini+++
BISMKHX	Hampton Inn Bismarck, ND
BISNWHX	Hampton Inn and Suites Bismarck/Northwest, ND
BIXDTDT	DoubleTree by Hilton Biloxi
BJIMNHX	Hampton Inn and Suites Bemidji
BJXSGHX	Hampton Inn Silao, Guanajuato, Mexico
BKKCICI	Conrad Bangkok
BKKHITW	Millennium Hilton Bangkok
BKKHPHI	Hilton Pattaya
BKKRECI	Conrad Bangkok Residences
BKKSSDI	DoubleTree by Hilton Sukhumvit Bangkok
BKKSUHI	Hilton Sukhumvit Bangkok
BKRAPHX	Hampton Inn and Suites Bakersfield North/Airport, CA
BKRCAHX	Hampton Inn Bakersfield
BKRHSHX	Hampton Inn and Suites Barstow
BKRHWHW	Homewood Suites by Hilton Bakersfield
BKVMSHX	Hampton Inn Brookhaven
BKXSDHX	Hampton Inn and Suites Brookings, SD
BLAPAHX	Hampton Inn and Suites Blairsville, PA
BLINWHT	Home2 Suites by Hilton Bellingham Airport
BLKBLTW	Hilton Blackpool
BLLWAHX	Hampton Inn Bellingham-Airport, WA
BLMPAHX	Hampton Inn and Suites Bethlehem
BLOPAHX	Hampton Inn Bloomsburg
BLRORDI	DoubleTree Suites by Hilton Bangalore
BLRREHI	Hilton Bangalore Embassy GolfLinks
BLXMSHX	Hampton Inn Biloxi Beach Boulevard
BLXOSHX	Hampton Inn Biloxi Ocean Springs
BMCNMHX	Hampton Inn Brigham City, UT
BMGHWHW	Homewood Suites by Hilton Bloomington
BMGINGI	Hilton Garden Inn Bloomington, IN
BMGWLHX	Hampton Inn Bloomington
BMIDTDT	DoubleTree by Hilton Bloomington
BMINLHX	Hampton Inn and Suites Bloomington/Normal, IL
BMIWEHX	Hampton Inn Bloomington West
BMNGAHX	Hampton Inn Bremen/Carrollton
BNAANGI	Hilton Garden Inn Nashville Airport
BNAAPHT	Home2 Suites by Hilton Nashville-Airport, TN
BNABDHX	Hampton Inn Nashville/Brentwood
BNABGGI	Hilton Garden Inn Bowling Green,KY
BNABTHW	Homewood Suites by Hilton Nashville/Brentwood
BNABWHF	Hilton Suites Brentwood
BNACKHX	Hampton Inn Cookeville, TN
BNACSGI	Hilton Garden Inn Nashville/Franklin Cool Springs, TN
BNACVGI	Hilton Garden Inn Clarksville, TN
BNADTHX	Hampton Inn & Suites Nashville-Downtown
BNADUDT	DoubleTree by Hilton Nashville
BNADWHW	Homewood Suites by Hilton Nashville-Downtown, TN
BNAEAHX	Hampton Inn Nashville/Hickory Hollow
BNAEBDT	DoubleTree Suites by Hilton Nashville Airport
BNAESES	Embassy Suites by Hilton Nashville Vanderbilt University
BNAFKHX	Hampton Inn and Suites Nashville-Franklin
BNAFLES	Embassy Suites by Hilton Nashville - South-Cool Springs
BNAGDHX	Hampton Inn Nashville/Goodlettsville
BNAGHHX	Hampton Inn and Suites Nashville/Green Hills
BNAHSHX	Hampton Inn and Suites Nashville Airport
BNAHTHT	Home2 Suites by Hilton Nashville Vanderbilt, TN
