AANHITW	Hilton Al Ain
BOSBTHX	Hampton Inn Boston/Braintree
BOSBUGI	Hilton Garden Inn Boston/Burlington
BOSBWHF	Hilton Boston/Woburn
BOSCBHX	Hampton Inn Boston/Cambridge
BOSCHDT	DoubleTree Club by Hilton Boston-Bayside
BOSCNHW	Homewood Suites by Hilton Boston/Canton, MA
BOSCODT	DoubleTree by Hilton Boston-Downtown
BOSFDHF	Hilton Boston Financial District
BOSHHHX	Hampton Inn Marlborough
BOSHSHX	Hampton Inn Boston Crosstown
BOSHVHX	Hampton Inn Haverhill, MA
BOSHWHW	Homewood Suites by Hilton Boston/Peabody
BOSLAHX	Hampton Inn Boston Logan Airport
BOSLHHH	Hilton Boston Logan Airport
BOSMAES	Embassy Suites by Hilton Boston-Marlborough
BOSMFDT	DoubleTree by Hilton Boston/Milford
BOSNSDT	DoubleTree by Hilton Boston North Shore
BOSNTHX	Hampton Inn Boston/Natick
BOSNWHX	Hampton Inn Boston/Norwood, MA
BOSORDT	Doubletree by Hilton Boston - Andover, MA
BOSPBHX	Hampton Inn Boston-Peabody,MA
BOSRODT	DoubleTree by Hilton Rockland, MA
BOSSBDT	DoubleTree Suites by Hilton Boston - Cambridge
BOSWAGI	Hilton Garden Inn Boston/Waltham, MA
BOSWFHX	Hampton Inn and Suites Westford/Chelmsford, MA
BOSWSES	Embassy Suites by Hilton Boston/Waltham
BOSWTDT	DoubleTree by Hilton Boston - Westborough
BOUCOHW	Homewood Suites by Hilton Boulder
BOWMDHX	Hampton Inn Bowie
BOYBHHX	Hampton Inn and Suites Boynton Beach, FL
BPIWYHX	Hampton Inn and Suites Pinedale, WY
BPNCICI	Conrad Bali
BPTGIGI	Hilton Garden Inn Beaumont
BPTHWHW	Homewood Suites by Hilton Beaumont, TX
BPTORHX	Hampton Inn Orange, TX
BPTTXHX	Hampton Inn Beaumont
BPTWIHX	Hampton Inn and Suites Winnie, TX
BRAHNHN	Hilton Bracknell
BRASATW	Hilton St Anne's Manor Bracknell
BRAVTHX	Hampton Inn BrattleBoro, VT
BRAWEHX	Hampton Inn Branson West
BRETXHX	Hampton Inn and Suites Brenham, TX
BRIDTDI	DoubleTree by Hilton Acaya Golf Resort Lecce
BRITNHX	Hampton Inn Bristol
BROHSHX	Hampton Inn and Suites Brownsville, TX
BROHWHW	Homewood Suites by Hilton Brownsville, TX
BROSPGI	Hilton Garden Inn South Padre Island
BRSBCHX	Hampton By Hilton Bristol City Center
BRSCCGI	Hilton Garden Inn Bristol City Centre
BRSDTDI	DoubleTree by Hilton Bristol South - Cadbury South
BRSNEHX	Hampton Inn Newport East
BRSRWDI	DoubleTree by Hilton Bristol City Centre
BRUGRHI	Hilton Brussels Grand Place
BRUPMHI	Hilton Brussels City
BSBHITW	Hilton Brisbane
BSHAPHN	Hilton Avisford Park, Arundel
BSHMETW	Hilton Brighton Metropole
BSTBRHN	Hilton Bristol
BSWESES	Embassy Suites by Hilton Brunswick
BSWJIHX	Hampton Inn and Suites Jekyll Island, GA
BSWVEHX	Hampton Inn and Suites Brunswick, GA
BTANYHX	Hampton Inn Batavia
BTLCWHX	Hampton Inn Coldwater, MI
BTLMIHX	Hampton Inn Battle Creek
BTMMTHX	Hampton Inn Butte
BTPNCHX	Hampton Inn Butler, PA
BTRCADT	DoubleTree by Hilton Baton Rouge
BTRCNHX	Hampton Inn Baton Rouge-I-10 & College Drive, LA
BTRCPHF	Hilton Baton Rouge Capitol Center
BTRCSES	Embassy Suites by Hilton Baton Rouge
BTRDNHX	Hampton Inn and Suites Baton Rouge/Downtown, LA
BTRDSHX	Hampton Inn Baton Rouge/Denham Springs, LA
BTREAHX	Hampton Inn and Suites Baton Rouge/I-10 East, LA
BTRGIGI	Hilton Garden Inn Baton Rouge Airport
BTRGZHX	Hampton Inn Gonzales, LA
BTRPAHX	Hampton Inn and Suites Baton Rouge/Port Allen, LA
BTSDIDI	DoubleTree by Hilton Bratislava
BTSINHX	Hampton Inn Batesville, IN
BTTVTHF	Hilton Burlington
BTVDSHW	Homewood Suites by Hilton Burlington, VT
BTVDTDT	DoubleTree by Hilton Burlington
BTVDWGI	Hilton Garden Inn Burlington-Downtown, VT
BTVGIGI	Hilton Garden Inn Bartlesville
BTVMVHX	Hampton Inn Burlington, VT
BTVOKHX	Hampton Inn Bartlesville
BTWCAHX	Hampton Inn Brentwood, CA
BTZHIHI	Hilton Bursa Convention Center and Spa
BTZHXHX	Hampton Inn Bursa
BUDHITW	Hilton Budapest
BUEBAQQ	Anselmo Buenos Aires-Curio Collection By Hilton
BUEHIHH	Hilton Buenos Aires, AR
BUFAGGI	Hilton Garden Inn Buffalo Airport
BUFAPHW	Homewood Suites by Hilton Buffalo/Airport
BUFARHX	Hampton Inn Buffalo Airport
BUFATHX	Hampton Inn and Suites Buffalo/Airport, NY
BUFDTHX	Hampton Inn and Suites Buffalo Downtown
BUFEAHX	Hampton Inn East Aurora, NY
BUFESES	Embassy Suites by Hilton Buffalo
BUFFLDT	DoubleTree by Hilton Buffalo-Amherst
BUFHWHW	Homewood Suites by Hilton Buffalo/Amherst, NY
BUFMSGI	Hilton Garden Inn Buffalo - Downtown, Ny
BUFNYDT	DoubleTree Club by Hilton Buffalo Downtown
BUFWSHX	Hampton Inn Buffalo South
BUFWVHX	Hampton Inn Williamsville
BUHDTDI	DoubleTree by Hilton Bucharest-Unirii Square
BUHHITW	Athenee Palace Hilton Bucharest
BURCAGI	Hilton Garden Inn Calabasas
BURGLES	Embassy Suites by Hilton Los Angeles Glendale
BURHGHF	Hilton Glendale
BURPDGI	Hilton Garden Inn Palmdale, CA
BURUCHF	Hilton Los Angeles-Universal City
BURWCHF	Hilton Woodland Hills/Los Angeles
BUSBTHI	Hilton Batumi
BVDNCHX	Hampton Inn Brevard
BWDTXHX	Hampton Inn Brownwood, TX
BWGKYHX	Hampton Inn Bowling Green, KY
BWIABGI	Hilton Garden Inn Aberdeen, MD
BWIAHGI	Hilton Garden Inn Baltimore Washington Airport
BWIANGI	Hilton Garden Inn Annapolis, MD
BWIAPHF	Hilton BWI Airport
BWIARGI	Hilton Garden Inn  Arundel Mills
BWIBADT	DoubleTree by Hilton Baltimore - BWI Airport
BWIBDES	Embassy Suites by Hilton Baltimore Downtown
BWICCHH	Hilton Baltimore
BWICHDT	DoubleTree by Hilton Columbia MD
BWICOGI	Hilton Garden Inn Columbia
BWICUDT	Inn at Colonnade
BWIEPHT	Home2 Suites by Hilton Baltimore Downtown, MD
BWIIHGI	Hilton Garden Inn Baltimore Inner Harbor, MD
BWIKIGI	Hilton Garden Inn Kent Island, MD
BWILMDT	DOUBLETREE BY HILTON LAUREL
BWILWDT	Doubletree By Hilton Largo/Washington DC
BWIOMGI	Hilton Garden Inn Baltimore/Owings Mills
BWIOPHT	Home2 Suites by Hilton Baltimore/Aberdeen, MD
BWIOWHX	Hampton Inn Baltimore/Owings Mills, MD
BWIWAGI	Hilton Garden Inn Waldorf, MD
BWIWMGI	Hilton Garden Inn Baltimore/White Marsh, MD
BXNBTHI	Hilton Bodrum Turkbuku Resort & Spa
BYGWYHX	Hampton Inn and Suites Buffalo, WY
BYHBLHX	Hampton Inn Blytheville, AR
BZNGIGI	Hilton Garden Inn Bozeman, MT
BZNHWHW	Homewood Suites by Hilton Bozeman, MT
BZNMTHX	Hampton Inn Bozeman
CADSMHX	Hampton Inn Cadillac, MI
CAECCHF	Hilton Columbia Center
CAECLHX	Hampton Inn and Suites Columbia I-20/Clemson Road, SC
CAECOGI	Hilton Garden Inn Columbia/Harbison
CAECSDT	DoubleTree by Hilton Columbia,SC
CAEDTHX	Hampton Inn Columbia Downtown Historic District
CAEFJHX	Hampton Inn and Suites Columbia Southeast Ft. Jackson, SC
CAEGSES	Embassy Suites by Hilton Columbia-Greystone
CAEHWHW	Homewood Suites by Hilton Columbia, SC
CAELXHX	Hampton Inn Columbia/Lexington
CAENEHX	Hampton Inn Columbia Northeast - Fort Jackson, SC
CAENOGI	Hilton Garden Inn Columbia/Northeast, SC
CAENWHX	Hampton Inn Columbia Harrison Blvd.
CAEWEHX	Hampton Inn Columbia Airport
CAICICI	Conrad Cairo
CAIPGHI	Hilton Pyramids Golf Resort
CAIRHTW	Ramses Hilton
CAIZRHI	Hilton Cairo Zamalek Residences
CAKAPGI	Hilton Garden Inn Akron-Canton Airport
CAKBMHX	Hampton Inn and Suites Canton, OH
CAKEMGI	Hilton Garden Inn Akron, OH
CAKFAHW	Homewood Suites by Hilton Akron Fairlawn, OH
CAKFLDT	DoubleTree by Hilton Akron/Fairlawn
CAKHWHF	Hilton Akron Fairlawn
CAKKTHX	Hampton Inn Kent
CAKMDHX	Hampton Inn Cleveland/Medina
CAKNAES	Embassy Suites by Hilton Akron-Canton Airport
CAKNCHT	Home2 Suites by Hilton Canton, OH
CAKOHHX	Hampton Inn Akron Fairlawn
CAKSOHX	Hampton Inn Akron South
CAKWOGI	Hilton Garden Inn Wooster
CALALHX	Hampton Inn Calera, AL
CARGAHX	Hampton Inn Carrollton
CASNCHX	Hampton Inn and Suites Cashiers/Sapphire Valley, NC
CBKKSHX	Hampton Inn Colby, KS
CBNKYHX	Hampton Inn Corbin
CCBCHHF	Hilton Cocoa Beach
CCDNHHX	Hampton Inn Concord/Bow
CCOGAHX	Hampton Inn Atlanta/Newnan
CCPMAHX	Hampton Inn Chicopee/Springfield, MA
CDAIDHX	Hampton Inn and Suites Coeur d' Alene, ID
CDGHITW	Hilton Paris Charles de Gaulle Airport
CDGTPWA	Trianon Palace Versailles, A Waldorf Astoria Hotel
CDJMXHX	Hampton Inn Ciudad Juarez Mexico
CDJVCHX	Hampton Inn Ciudad Victoria, Mexico
CEDARHX	Hampton Inn Cedar City
CEUSCHX	Hampton Inn Clemson-University Area, SC
CFDNJHW	Homewood Suites Cranford
CFLPAHX	Hampton Inn Clearfield, PA
CFORDHX	Hampton Inn and Suites Chadds Ford, PA
CGNHIHI	Hilton Cologne
CHACHDT	DoubleTree by Hilton Chattanooga
CHADNHX	Hampton Inn and Suites Chattanooga/Downtown, TN
CHADTGI	Hilton Garden Inn Chattanooga Downtown
CHAHAGI	Hilton Garden Inn Chattanooga/Hamilton Place
CHAHMES	Embassy Suites by Hilton Chattanooga Hamilton Place
CHAHPHX	Hampton Inn and Suites Chattanooga-Hamilton Place, TN
CHAKMHX	Hampton Inn Kimball, TN
CHALMHX	Hampton Inn Chattanooga West/Lookout Mountain, TN
CHANOHX	Hampton Inn Chattanooga-North/Ooltewah, TN
CHAPHHX	Hampton Inn Cleveland, Tennessee
CHARGHX	Hampton Inn Ringgold/Ft. Oglethorpe, GA
CHASFHX	Hampton Inn Chattanooga Airport
CHASLHW	Homewood Suites by Hilton Chattanooga
CHIAHGI	Hilton Garden Inn Addison, IL
CHIAPHX	Hampton Inn Chicago O'Hare
CHIARDT	DoubleTree by Hilton Chicago Arlington Heights
CHIASDT	DoubleTree by Hilton Chicago-Alsip
CHIAUHX	Hampton Inn and Suites Chicago/Aurora
CHIBBHX	Hampton Inn and Suites Bolingbrok, IL
CHIBHHH	Hilton Chicago Oak Brook Hills Resort & Conference Center
CHICCDT	DoubleTree by Hilton Chicago North Shore Conference Center
CHICHHH	Hilton Chicago
CHICLHX	Hampton Inn Chicago Carol Stream
CHICTGI	Hilton Garden Inn Chesterton
CHIDHHH	The Drake Hotel
CHIDMHX	Hampton Inn Chicago Downtown/Magnificent Mile,IL
CHIDNGI	Hilton Garden Inn Chicago Downtown
CHIDPHX	Hampton Inn and Suites Chicago/Deer Park, IL
CHIDTDT	DoubleTree by Hilton Chicago O'Hare Airport
CHIDWES	Embassy Suites by Hilton Chicago-Downtown
CHIFFHX	Hampton Inn and Suites Chicago St Charles
CHIFPHX	Hampton Inn Freeport, IL
CHIGNHX	Hampton Inn Elgin
CHIGUHX	Hampton Inn Chicago/Gurnee
CHIHEGI	Hilton Garden Inn Hoffman Estates
CHIHMHX	Hampton Inn and Suites Chicago/Hoffman Estates
CHIHSHX	Hampton Inn and Suites Chicago Downtown
CHIHUHW	Homewood Suites Chicago Downtown/Magnificent Mile,IL
CHIHWHW	Homewood Chicago Downtown
CHILHQQ	LondonHouse Chicago, Curio Collection by Hilton
CHILMES	Embassy Suites by Hilton Lombard
CHILSHW	Homewood Suites by Hilton Chicago-Lincolnshire
CHILYHX	Hampton Inn and Suites Libertyville, IL
CHIMAHX	Hampton Inn and Suites Chicago-South/Matteson, IL
CHIMMDT	DoubleTree by Hilton Chicago-Magnificent Mile
CHIMPHX	Hampton Inn and Suites Chicago/Mt. Prospect, IL
CHIMUDT	DoubleTree by Hilton Libertyville-Mundelein
CHIMWHX	Hampton Inn Chicago Midway
CHINAES	Embassy Suites by Hilton Chicago-Naperville
CHINBHF	Hilton Chicago-Northbrook
CHINPDT	theWit - A DoubleTree by Hilton
CHINVHX	Hampton Inn Chicago/Naperville
CHIOADT	DoubleTree by Hilton Chicago Oakbrook
CHIOBGI	Hilton Garden Inn Chicago/Oakbrook Terrace
CHIOHHH	Hilton Chicago O'Hare Airport
CHIOPHW	Homewood Suites by Hilton Orland Park, IL
CHIOTHS	Hilton Suites Chicago/Oakbrook Terrace
CHIPHHH	The Palmer House Hilton
CHIREES	Embassy Suites by Hilton Chicago Lakefront
CHIRMES	Embassy Suites by Hilton Chicago-OHare Rosemont
CHISBES	Embassy Suites by Hilton Chicago-Schaumburg-Woodfield
CHISCGI	Hilton Garden Inn St. Charles
CHISGDT	DoubleTree by Hilton Chicago/Schaumburg
CHISKHX	Hampton Inn and Suites Chicago North Shore
CHISMHW	Homewood Suites by Hilton Chicago
CHITDHX	Hampton Inn Chicago Theatre District, IL
CHITPHX	Hampton Inn Chicago/Tinley Park
CHIWAWA	Waldorf Astoria Chicago
CHIWCHX	Hampton Inn Chicago/Westchester
CHIWDDT	DoubleTree by Hilton Chicago Wood Dale/Itasca
CHIYVHX	Hampton Inn Yorkville, IL
CHKSFHX	Hampton Inn Chickasha, OK
CHLOHHX	Hampton Inn and Suites Chillicothe
CHOCHGI	Hilton Garden Inn Charlottesville
CHOCNHW	Homewood Suites by Hilton Charlottesville, VA
CHOMSHX	Hampton Inn and Suites Charlottesvile @ University
CHOSHDT	DoubleTree by Hilton Charlottesville
CHOVAHX	Hampton Inn Charlottesville
CHRKEHX	Hampton Inn Cherokee
CHSACHX	Hampton Inn Charleston Airport
CHSAHGI	Hilton Garden Inn Charleston Airport
CHSCCHT	Home2 Suites by Hilton Charleston Airport/Convention Center
CHSCODT	DoubleTree by Hilton Charleston North Convention Center
CHSCSDT	DoubleTree Suites by Hilton Charleston-Historic District
CHSDIHX	Hampton Inn Charleston/Daniel Island
CHSDWGI	Hilton Garden Inn Charleston Waterfront/Downtown
CHSEMES	Embassy Suites by Hilton North Charleston Airport
CHSESES	Embassy Suites by Hilton Charleston, S.C.
CHSHDHX	Hampton Inn Charleston Historic District
CHSHMHW	Homewood Suites by Hilton North Charleston/Airport, SC
CHSHWHW	Homewood Suites by Hilton Charleston - Mt. Pleasant
CHSMPHX	Hampton Inn and Suites Charleston/Mount Pleasant
CHSMTHX	Hampton Inn Charleston/Mount Pleasant
CHSNCDT	DoubleTree by Hilton North Charleston
CHSNOHX	Hampton Inn North Charleston
CHSPLGI	Hilton Garden Inn Mount Pleasant
CHSUBHX	Hampton Inn and Suites North Charleston/University Blvd, SC
CHSWAHX	Hampton Inn and Suites Charleston/West Ashley
CICCAHX	Hampton Inn and Suites Chino, CA
CIDCCDT	DoubleTree by Hilton Cedar Rapids Convention Complex
CIDCLHX	Hampton Inn Iowa City
CIDIAHX	Hampton Inn Cedar Rapids
CIDNOHW	Homewood Suites by Hilton Cedar Rapids/North, IA
CIDPPHX	Hampton Inn and Suites Cedar Rapids/North, IA
CIGCOHX	Hampton Inn and Suites Craig, CO
CJCDTDT	Doubletree By Hilton Calama
CKBGIGI	Hilton Garden Inn Clarksburg
CKBWVHX	Hampton Inn Bridgeport/Clarksburg
CKVFCHT	Home2 Suites by Hilton Clarksville/Ft. Campbell, TN
CKVTNHX	Hampton Inn and Suites Clarksville, TN
CLAPAHX	Hampton Inn Clarion, PA
CLBTNHX	Hampton Inn Columbia, TN
CLDNJHX	Hampton Inn Carlstadt
CLEAHGI	Hilton Garden Inn Cleveland Airport
CLEBDHW	Homewood Suites by Hilton Cleveland-Beachwood, OH
CLEBHES	Embassy Suites by Hilton Cleveland / East Beachwood
CLEBWHX	Hampton Inn and Suites Cleveland/Beachwood, OH
CLECBDT	DoubleTree by Hilton Cleveland East/Beachwood
CLECCHX	Hampton Inn Cleveland Airport
CLECRDT	DoubleTree by Hilton Cleveland Westlake
CLEDOHH	Hilton Cleveland Downtown, OH
CLEDRHX	Hampton Inn Cleveland/Westlake
CLEDTHX	Hampton Inn Cleveland Downtown
CLEEMGI	Hilton Garden Inn Cleveland East/Mayfield Heights, OH
CLEEYHX	Hampton Elyria, OH
CLEGWGI	Hilton Garden Inn Cleveland Downtown
CLEHSDT	DoubleTree by Hilton Cleveland-South
CLEHWHW	Homewood Suites by Hilton Cleveland/Solon
CLEINES	Embassy Suites by Hilton Cleveland-Rockside
CLEIPHX	Hampton Inn and Suites Cleveland/Independence
CLELSDT	DoubleTree by Hilton Cleveland Downtown/Lakeside
CLEMEHX	Hampton Inn and Suites Cleveland/Mentor, OH
CLEMHHX	Hampton Inn and Suites Cleveland/Middleburg Heights, OH
CLESLHX	Hampton Inn Cleveland/Solon, OH
CLETHGI	Hilton Garden Inn Cleveland/Twinsburg
CLEUCDT	DoubleTree by Hilton Tudor Arms Hotel
CLIMOHX	Hampton Inn Clinton, MO
CLJHXHX	Hampton Inn Cluj Romania
CLKOKHX	Hampton Inn Clinton, OK
CLLCHHF	Hilton College Station
CLLGIGI	Hilton Garden Inn College Station, TX
CLLHTHT	Home2 Suites by Hilton College Station, TX
CLLHWHW	Homewood Suites by Hilton College Station
CLLTEHX	Hampton Inn College Station
CLLTXHX	Hampton Inn and Suites College Station
CLNNJHX	Hampton Inn Clinton
CLOHXHX	Hampton Inn Cali, Colombia
CLONMHX	Hampton Inn Clovis
CLRSSHX	Hampton Inn and Suites Childress, TX
CLTALHW	Homewood Suites by Hilton Charlotte/Ayrsley, NC
CLTAPDT	DoubleTree by Hilton Charlotte Airport
CLTATHX	Hampton Inn and Suites Charlotte-Airport, NC
CLTAYGI	Hilton Garden Inn Charlotte/Ayrsley, NC
CLTBAHW	Homewood Suites by Hilton Charlotte Ballantyne Area, NC
CLTBLHX	Hampton Inn and Suites Belmont, NC
CLTCCES	Embassy Suites by Hilton Charlotte Concord
CLTCDHX	Hampton Inn Concord/Kannapolis
CLTCOGI	Hilton Garden Inn Charlotte/Concord, NC
CLTCRHX	Hampton Inn Charlotte/Lake Norman
CLTDSHW	Homewood Suites by Hilton Davidson, NC
CLTDTDT	DoubleTree Suites by Hilton Charlotte-Southpark
CLTEPHF	Hilton Charlotte-Executive Park
CLTHHHF	Hilton Charlotte City Center
CLTHSHX	Hampton Inn and Suites Charlotte/Arrowood Road
CLTHUHF	Hilton Charlotte University Place, NC
CLTHVHX	Hampton Inn and Suites Charlotte/Huntersville, NC
CLTHWHW	Homewood Suites Charlotte-Airport, NC
CLTKGHX	Hampton Inn and Suites Charlotte @ Concord Hills
CLTLCHX	Hampton Inn Lincolnton, NC
CLTMHHX	Hampton Inn Charlotte/Matthews
CLTMOGI	Hilton Garden Inn Charlotte/Mooresville
CLTNHGI	Hilton Garden Inn Charlotte - North
CLTPHGI	Hilton Garden Inn Charlotte Pineville
CLTPKHW	Homewood Suites by Hilton Charlotte North-Univ Research
CLTRTGI	Hilton Garden Inn Charlotte Airport, NC
CLTSHHX	Hampton Inn and Suites Shelby, NC
CLTSPHX	Hampton Inn and Suites Charlotte/SouthPark @ Phillips Pl, NC
CLTTBES	Embassy Suites by Hilton Charlotte/Ayrsley
CLTTGHT	Home2 Suites by Hilton Charlotte I-77 South, NC
CLTTYES	Embassy Suites by Hilton Charlotte
CLTUPGI	Hilton Garden Inn Charlotte - Uptown
CLTUTHX	Hampton Inn Charlotte Uptown
CLTUVHX	Hampton Inn Charlotte @ University Place
CLTWCDT	DoubleTree by Hilton Charlotte-Gateway Village
CLUGBHX	Hampton Inn and Suites Greensburg, IN
CLUINGI	Hilton Garden Inn Columbus/Edinburgh, IN
CLUSMHX	Hampton Inn Seymour
CLUTVHX	Hampton Inn Columbus/Taylorsville
CLWFLHW	Homewood Suites by Hilton St. Petersburg Clearwater
CLWLGHX	Hampton Inn and Suites Largo, FL
CLWNOHX	Hampton Inn Clearwater Central
CLWPPHX	Hampton Inn and Suites Clearwater/Pinnellas
CLWPRHX	Hampton Inn and Suites Port Richey, FL
CLWPTHW	Homewood Suites by Hilton Tampa-Port Richey, FL
CMEMXHX	Hampton Inn Ciudad del Carmen Campeche, MX
CMHAPHX	Hampton Inn Columbus Airport
CMHATES	Embassy Suites by Hilton Columbus Airport
CMHCAGI	Hilton Garden Inn Columbus Airport
CMHCEES	Embassy Suites by Hilton Columbus
CMHCHHF	Hilton Columbus
CMHCPGI	Hilton Garden Inn Columbus/Polaris
CMHDHGI	Hilton Garden Inn Columbus/Dublin
CMHDLHX	Hampton Inn Columbus/Delaware
CMHDUHW	Homewood Suites by Hilton Columbus/Dublin
CMHDWHH	Hilton Columbus Downtown
CMHEAHX	Hampton Inn Columbus East
CMHESES	Embassy Suites by Hilton Columbus-Dublin
CMHETHX	Hampton Inn & Suites Columbus /Easton Area
CMHGCGI	Hilton Garden Inn Columbus/Grove City
CMHHIHW	Homewood Suites by Hilton Columbus/Hilliard
CMHHLHX	Hampton Inn and Suites Columbus/Hilliard
CMHHSHX	Hampton Inn and Suites Columbus Downtown
CMHHUHW	Homewood Suites by Hilton Columbus/Worthington
CMHLAHW	Homewood Suites by Hilton Columbus/OSU (Lane Ave), OH
CMHNEDT	DoubleTree by Hilton Newark, Ohio
CMHNWHX	Hampton Inn Columbus/Dublin
CMHPOHF	Hilton Columbus/Polaris
CMHPPHW	Homewood Suites by Hilton Columbus/Polaris, OH
CMHPSHX	Hampton Inn and Suites Columbus/Polaris, OH
CMHSBDT	DoubleTree Suites by Hilton Columbus Downtown
CMHSHHX	Hampton Inn Columbus/Hamilton Road
CMHSOHX	Hampton Inn Columbus South
CMHUAGI	Hilton Garden Inn Columbus University Area
CMHUNHX	Hampton Inn and Suites Columbus/University Area, OH
CMHWEHX	Hampton Inn Columbus West
CMHWNDT	DoubleTree by Hilton Columbus/Worthington
CMICHGI	Hilton Garden Inn Champaign/Urbana, IL
CMIHWHW	Homewood Suites by Hilton Champaign/Urbana
CMIILHX	Hampton Inn Champaign/Urbana
CNMNMHX	Hampton Inn and Suites Carlsbad, NM
CNSDCDI	DoubleTree by Hilton Cairns
CNTSCHX	Hampton Inn and Suites Clinton, SC
CNWARHX	Hampton Inn Conway
CNYMBHX	Hampton Inn Moab, UT
COBHNHN	Hilton Cobham
COIBHHX	Hampton Inn Cocoa Beach/Cape Canaveral, FL
COLHITW	Hilton Colombo
COLJTTW	Hilton Colombo Residence
COMGAHX	Hampton Inn Commerce
COMNYHX	Hampton Inn Long Island/Commack
CONCHHF	Hilton Concord
CONTNHX	Hampton Inn and Suites Tilton, NH
COSAPGI	Hilton Garden Inn Colorado Springs Airport, CO
COSCCES	Embassy Suites by Hilton Colorado Springs
COSCHGI	Hilton Garden Inn Colorado Springs
COSHHHX	Hampton Inn Colorado Springs Airport
COSHWHW	Homewood Suites by Hilton Colorado Springs Airport
COSIQHX	Hampton Inn and Suites Colorado Springs-Interquest
COSNHHX	Hampton Inn Colorado Springs Central Air Force Academy, CO
COSNOHW	Homewood Suites by Hilton Colorado Springs North
COSPDT	DoubleTree by Hilton Colorado Springs - World Arena, CO
COSWAHX	Hampton Inn and Suites Colorado Springs/World Arena, CO
COTBAHX	Hampton Inn Cotulla, TX
COUHHHX	Hampton Inn Columbia, MO
COUMHGI	Hilton Garden Inn Columbia, MO
COUTBDT	DoubleTree by Hilton Columbia - The Broadway, MO
COUUMHX	Hampton Inn and Suites Columbia (at the Univ of Missoui)
COVGIGI	Hilton Garden Inn Covington/Mandeville
COVHMHW	Homewood Suites by Hilton Covington, LA
COVLAHX	Hampton Inn Convington/Mandeville
CPHAPHI	Hilton Copenhagen Airport
CPKNYHX	Hampton Inn Clifton Park
CPRCAGI	Hilton Garden Inn Casper
CPRWYHX	Hampton Inn and Suites Casper, WY
CPTCCHI	Hilton Cape Town City Centre
CPTUEDI	DoubleTree by Hilton Cape Town - Upper Eastside Hotel
CRBILHX	Hampton Inn Carbondale
CRDHXHX	Hampton Inn and Suites Cordele, GA
CRKCOHX	Hampton Inn Castle Rock
CRNGAHX	Hampton Inn Cornelia
CRNHITW	Hilton Cairns
CROHNHN	Hilton London Croydon
CROHXHX	Hampton Inn Croydon
CRPALHX	Hampton Inn Alice, TX
CRPCCGI	Hilton Garden Inn Corpus Christi, TX
CRPHWHW	Homewood Suites by Hilton Corpus Christi
CRPKVHX	Hampton Inn Kingsville, TX
CRPPAHX	Hampton Inn and Suites Port Aransas, TX
CRPPTHX	Hampton Inn Corpus Christi/Portland
CRPSPES	Embassy Suites by Hilton Corpus Christi
CRPWEHX	Hampton Inn Corpus Christi Northwest
CRSTXHX	Hampton Inn and Suites Corsicana-I-45, TX
CRTKYHX	Hampton Inn Carrollton, KY
CRVTNHX	Hampton Inn Caryville/Cove Lake
CRWEMES	Embassy Suites by Hilton Charleston, W.V.
CRWSOHX	Hampton Inn Charleston/Southbridge
CRWWVHX	Hampton Inn Charleston Downtown. WV
CRYHSHW	Homewood Suites by Hilton Raleigh/Cary
CRYNCHX	Hampton Inn Raleigh.Cary
CSBHHHX	Hampton Inn Christiansburg/Blacksburg
CSGATHX	Hampton Inn Columbus Airport, GA
CSGBPHT	Home2 Suites by Hilton - Columbus, GA
CSGDTDT	DoubleTree by Hilton Columbus
CSGFBHX	Hampton Inn Columbus-South/Ft. Benning, GA
CSGGHGI	Hilton Garden Inn Columbus
CSGHWHW	Homewood Suites by Hilton Columbus, GA
CSGNOHX	Hampton Inn Columbus North,GA
CSGPCHX	Hampton Inn & Suites Phenix City
CSNCAHX	Hampton Inn Los Angeles/Carson
CSNHSHX	Hampton Inn and Suites Carson City, NV
CSVTNHX	Hampton Inn Crossville, TN
CTACDT	DoubleTree by Hilton Seattle Airport
CTDNYHX	Hampton Inn Cortland
CTGHIHH	Hilton Cartagena
CTGHXHX	Hampton Inn Cartagena, Colombia
CTNMSHX	Hampton Inn Canton, MS
CTSNVHI	Hilton Niseko Village
CTVGAHX	Hampton Inn Cartersville
CUMGAHX	Hampton Inn Cumming
CURHIHH	Hilton Curacao
CUUMXHX	Hampton Inn Chihuahua
CVGBAES	Embassy Suites by Hilton Cincinnati-Northeast
CVGBLHX	Hampton Inn Cincinnati/Blue Ash
CVGBOGI	Hilton Garden Inn Cincinnati/Blue Ash, OH
